checkin_id,user_id,venue_id,venue_name,venue_category,latitude,longitude,timestamp,crowd_density,avg_dwell_minutes,day_of_week,hour_of_day,is_weekend,weather_condition,user_age_group,user_preference,visit_frequency,user_engagement_score,venue_popularity_score,event_type,user_status,recommended_venue
CHK0001,USR0140,VEN002,Harborview Bar,Bar/Lounge,40.7295,-74.0028,03/04/2024 10:15:14 PM,87,119,Monday,22,0,Clear,45+,Shopping,High,75,86,Happy Hour,Returning,Recommend Metro Nightclub
CHK0002,USR0051,VEN002,Harborview Bar,Bar/Lounge,40.7295,-74.0028,05/15/2024 07:01:05 PM,42,87,Wednesday,19,0,Clear,45+,Nightlife,Medium,44,56,Networking Event,Returning,Recommend Metro Nightclub
CHK0003,USR0179,VEN009,TechHub Coworking,Coworking,40.7001,-74.0065,04/23/2024 10:37:17 AM,80,192,Tuesday,10,0,Cloudy,18-24,Shopping,Medium,85,83,Business Meetup,Returning,Recommend Central Coffee House
CHK0004,USR0089,VEN007,Downtown Food Court,Food Court,40.708,-74.0019,04/13/2024 11:13:48 AM,93,44,Saturday,11,1,Sunny,25-34,Coffee,High,56,87,Retail Promotion,New,Recommend Seaside Restaurant
CHK0005,USR0142,VEN010,Riverwalk Park,Park,40.7054,-74.0087,04/03/2024 06:46:29 PM,78,62,Wednesday,18,0,Sunny,18-24,Business,High,46,74,Weekend Party,Returning,Recommend Greenfield Gym
CHK0006,USR0059,VEN005,Greenfield Gym,Gym,40.7087,-74.0077,05/20/2024 04:55:23 PM,38,58,Monday,16,0,Sunny,35-44,Shopping,Low,40,56,Morning Workout,New,Recommend Riverwalk Park
CHK0007,USR0042,VEN005,Greenfield Gym,Gym,40.7087,-74.0077,03/11/2024 07:55:06 PM,50,72,Monday,19,0,Sunny,35-44,Coffee,Medium,48,54,Morning Workout,Returning,Recommend Riverwalk Park
CHK0008,USR0044,VEN006,Grand Theater,Entertainment,40.7012,-74.0069,04/15/2024 02:17:44 PM,44,76,Monday,14,0,Rainy,35-44,Business,High,49,56,Concert,Returning,Recommend Metro Nightclub
CHK0009,USR0176,VEN009,TechHub Coworking,Coworking,40.7001,-74.0065,04/01/2024 09:24:17 AM,54,146,Monday,9,0,Rainy,35-44,Fitness,High,61,69,Business Meetup,New,Recommend Central Coffee House
CHK0010,USR0146,VEN006,Grand Theater,Entertainment,40.7012,-74.0069,03/08/2024 02:02:51 PM,56,115,Friday,14,0,Sunny,45+,Nightlife,Medium,60,64,Live Music,Returning,Recommend Metro Nightclub
CHK0011,USR0064,VEN006,Grand Theater,Entertainment,40.7012,-74.0069,03/28/2024 08:25:56 PM,67,109,Thursday,20,0,Rainy,25-34,Music,Medium,74,63,Weekend Party,Returning,Recommend Metro Nightclub
CHK0012,USR0036,VEN009,TechHub Coworking,Coworking,40.7001,-74.0065,05/08/2024 10:37:27 AM,60,198,Wednesday,10,0,Cloudy,35-44,Business,Medium,75,68,Business Meetup,Returning,Recommend Central Coffee House
CHK0013,USR0109,VEN009,TechHub Coworking,Coworking,40.7001,-74.0065,05/03/2024 08:03:55 AM,22,126,Friday,8,0,Clear,25-34,Music,High,57,57,Live Music,Returning,Recommend Central Coffee House
